שם הקרן,מס' קרן,פרופיל חשיפה מניות,"פרופיל חשיפה מט""ח",סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מאפייני הקרן,מנהל קרן,נאמן,מעמד מס,דמי ניהול,דמי נאמנות,שווי נכסי הקרן,תאריך נכונות,מחיר קניה,מחיר פדיון,שינוי יומי %,תשואות מתחילת החודש,תשואות מתחילת השנה,תשואות 12 חודשים,סטיית תקן,נכס ייחוס,סיווג עמלת הפצה
מיטב כספית 13032026 מתחדש,1220227,0,0,קרן כספית,כספית מתחדשת,חודשי,הקרן היא קרן מועדים קבועים,מיטב קרנות נאמנות,הרמטיק נאמנות,פטורה,0.200,0.0070,26.1,25.05.2025,,100.00,,,,,,"תל גוב-מק""מ",0.1%
אש מ כספ חודשי 16032026,1223866,0,0,קרן כספית,כספית מתחדשת,חודשי,הקרן היא קרן מועדים קבועים,אלטשולר-שחם קרנות,יובנק נאמנות,פטורה,0.190,0.0070,12.8,09.07.2025,,100.00,,,,,,"תל גוב-מק""מ",0.1%
הראל מדורג שקלי ללא מניות,5100110,0,0,"אג""ח בארץ - חברות והמרה",חברות והמרה שקלי ללא מניות,,,הראל,יובנק נאמנות,פטורה,0.850,0.0400,76.8,26.02.2026,279.68,279.68,‎-0.19,‎-0.07,0.79,6.59,0.30,תל בונד-לא צמודות,0.35%
איביאי יתר,5100144,4,A,מניות בארץ,מניות לפי שווי שוק,מניות Small Cap,,"איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,2.710,0.0500,48.2,26.02.2026,1679.02,1679.02,‎-0.26,‎-4.55,0.70,25.42,2.28,יתר מניות,0.35%
קסם אקט ענקיות טכנ חול,5100151,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",קסם,יובנק נאמנות,פטורה,1.940,0.0400,340.9,25.02.2026,420.29,420.29,1.25,‎-3.51,‎-4.46,0.88,2.02,"NASDAQ 100 - NTR,דולר ארה""ב",0.35%
הראל 4D אודם,5100169,4,D,גמישות,,,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",הראל,יובנק נאמנות,פטורה,1.190,0.0400,90.8,25.02.2026,601.15,601.15,‎-0.10,‎-1.10,9.77,59.74,1.81,אחר,0.35%
"אילים אג""ח + 30%",5100193,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 30% מניות",,,אילים קרנות,יובנק נאמנות,פטורה,0.690,0.0300,229.9,26.02.2026,407.95,407.95,‎-0.27,0.14,2.53,19.76,0.60,"All-Bond כללי,ת""א 125",0.35%
אלטשולר שחם 10/90 תיק חול,5100235,1,D,"אג""ח בחו""ל","אג""ח חשופת דולר",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",אלטשולר-שחם קרנות,יובנק נאמנות,פטורה,0.780,0.0400,94.1,25.02.2026,172.72,172.72,‎-0.31,0.13,‎-2.42,‎-6.24,1.04,"Bloomberg Intermediate Corporate Total Return Index Value Unhedged USD - GTR,MSCI World Index Daily Net TR Local,דולר ארה""ב",0.35%
קסםאקט מניותדיבידנדגלובלי,5100243,4,D,"מניות בחו""ל","מניות כללי בחו""ל","מניות כללי בחו""ל חשופת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,קרן להשק חוץ-פטור ממס לתושבי חוץ",קסם,יובנק נאמנות,פטורה,1.890,0.0400,54.5,25.02.2026,597.16,597.16,0.03,3.71,3.44,‎-1.31,1.18,"Dow Jones U.S. Dividend 100 Index ,דולר ארה""ב",0.35%
קסם אקט 10/90 תיק סולידי,5100284,1,A,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 10% מניות","אג""ח כללי בארץ בדירוג גבוה (AA ומעלה ו/ או מדינה)- עד 10% מניות",,קסם,יובנק נאמנות,פטורה,0.800,0.0300,365.9,26.02.2026,321.88,321.88,‎-0.24,0.28,1.49,9.52,0.32,"תל גוב-כללי,תל בונד שקלי-50,תל בונד-צמודות AA-AAA,ת""א 125",0.35%
תמיר פישמן 0D ! אג בינלאו,5100300,0,D,"אג""ח בחו""ל","אג""ח חשופת דולר",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",תמיר פישמן,יובנק נאמנות,חייבת,0.890,0.0600,40.5,25.02.2026,112.41,112.41,‎-0.31,0.53,‎-1.52,‎-6.72,0.89,"IBOXX USD LIQUID INVESTMENT GRADE - GTR,דולר ארה""ב",0.35%
קסם אקט מדינה ללא מנ כשר,5100318,0,B,"אג""ח בארץ - מדינה","אג""ח מדינה כללי - ללא מניות",,קרן כשרה,קסם,יובנק נאמנות,פטורה,0.670,0.0300,65.2,26.02.2026,182.87,182.87,‎-0.23,0.03,0.68,5.85,0.23,"תל גוב-שקלי 2-5,תל גוב-צמודות 2-5,תל בונד מאגר",0.35%
מיטב מדורגות A ומעלה,5100383,0,B,"אג""ח בארץ - חברות והמרה",חברות והמרה ללא מניות,"חברות והמרה ללא מניות וללא סימן קריאה, עם מגבלת מח""מ עד 5 שנים",,מיטב קרנות נאמנות,מזרחי טפחות נאמנות,פטורה,0.890,0.0300,221.1,26.02.2026,269.57,269.57,‎-0.25,‎-0.15,0.36,6.08,0.26,"אג""ח כללי - קונצרני",0.35%
מיטב ת״א 125,5100474,4,A,מניות בארץ,מניות לפי שווי שוק,מניות Large & Mid Cap,,מיטב קרנות נאמנות,יובנק נאמנות,פטורה,1.850,0.0400,1732.1,26.02.2026,1487.81,1487.81,‎-0.83,2.65,13.50,74.56,2.18,"ת""א 125",0.35%
איביאי 4D גלובל אקוויטי,5100482,4,D,"מניות בחו""ל","מניות כללי בחו""ל","מניות כללי בחו""ל חשופת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ","איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,2.100,0.0500,100.7,25.02.2026,254.15,254.15,0.50,‎-0.27,‎-0.16,0.06,1.12,"S&P 500 - NTR,דולר ארה""ב",0.35%
הראל מדינה שקלית ארוכה,5100565,0,0,"אג""ח בארץ - מדינה","אג""ח מדינה שקליות - ללא מניות",,,הראל,יובנק נאמנות,פטורה,0.690,0.0400,118.4,26.02.2026,349.01,349.01,‎-0.51,0.41,1.20,8.61,0.54,תל גוב-שקלי 5+,0.35%
קסם אקט שקל A ומעלה,5100581,0,0,"אג""ח בארץ - חברות והמרה",חברות והמרה שקלי ללא מניות,,,קסם,יובנק נאמנות,פטורה,0.710,0.0300,73.5,26.02.2026,256.17,256.17,‎-0.22,‎-0.13,0.67,6.01,0.29,"תל גוב-שקלי 2-5,תל בונד-שקלי A",0.35%
"איביאי 0D ! אג יורו בינ""ל",5100615,0,D,"אג""ח בחו""ל","אג""ח חשופת מט""ח",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,קרן להשקעות חוץ – מטבע עיקרי - אירו,קרן להשק חוץ-פטור ממס לתושבי חוץ","איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,1.000,0.0500,2.8,25.02.2026,103.42,103.42,‎-0.20,‎-0.94,‎-1.75,1.28,0.97,אירו,0.35%
מיטב כספית דולרית,5100672,0,D,קרן כספית,"כספית מט""חית עם קונצרני",חשופת דולר,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב",מיטב קרנות נאמנות,יובנק נאמנות,פטורה,0.280,0.0200,273.7,25.02.2026,69.17,69.17,‎-0.43,0.17,‎-2.47,‎-9.59,1.05,"אחר,דולר ארה""ב",0.1%
מגדל תיק מר נזיל בנק בינל,5100680,0,A,"אג""ח בארץ - חברות והמרה",חברות והמרה ללא מניות,"חברות והמרה ללא מניות וללא סימן קריאה, עם מגבלת מח""מ עד 5 שנים",הקרן עוקבת תיק של - הבנק הבינלאומי הראשון לישראל,מגדל,יובנק נאמנות,פטורה,0.490,0.0400,27.2,26.02.2026,190.22,190.22,‎-0.08,0.10,0.48,4.88,0.13,"אג""ח כללי - קונצרני",0.35%
